epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.6606,3.8033,9.24783,3.62058,2e-05,0.00463,1e-05,0,3.26456,4.48667,3.3325,0.000302666,0.000302666,0.000302666
2,141.718,3.36977,6.25046,2.93713,2e-05,0.00463,1e-05,0,3.05608,4.56167,2.75411,0.00059967,0.00059967,0.00059967
3,208.128,3.24687,5.31387,2.61234,0.00032,0.02431,0.00026,0.00011,2.86222,4.66148,2.61005,0.000890675,0.000890675,0.000890675
4,274.641,3.02176,5.00943,2.4848,0.00099,0.10995,0.00119,0.00031,2.89702,4.6563,2.56342,0.000882003,0.000882003,0.000882003
5,340.759,2.97989,4.847,2.49132,0.00115,0.05208,0.00077,0.00024,2.80102,4.53203,2.64649,0.000873004,0.000873004,0.000873004
6,407.166,2.9123,4.74639,2.47395,0.00181,0.14579,0.00231,0.00083,2.77039,4.30254,2.48994,0.000864004,0.000864004,0.000864004
7,473.262,2.85963,4.67579,2.44616,0.00208,0.18224,0.00241,0.00058,2.83345,4.35246,2.51015,0.000855005,0.000855005,0.000855005
8,539.613,2.84873,4.6264,2.38806,0.00166,0.25894,0.00357,0.00108,2.79515,4.21317,2.43503,0.000846006,0.000846006,0.000846006
9,605.511,2.78346,4.54833,2.34647,0.00237,0.28245,0.00374,0.00095,2.83091,4.21986,2.45683,0.000837007,0.000837007,0.000837007
10,671.963,2.72948,4.49356,2.30779,0.00243,0.32283,0.00509,0.00144,2.73324,4.19006,2.4235,0.000828008,0.000828008,0.000828008
11,737.164,2.72629,4.43219,2.32262,0.52404,0.06538,0.00916,0.00239,2.65598,4.08213,2.38726,0.000819009,0.000819009,0.000819009
12,802.885,2.70314,4.34357,2.30433,0.00293,0.39787,0.00768,0.00243,2.69433,4.10463,2.50147,0.00081001,0.00081001,0.00081001
13,869.463,2.69104,4.33639,2.28982,0.00191,0.51998,0.00926,0.00293,2.5881,4.03119,2.38112,0.000801011,0.000801011,0.000801011
14,934.764,2.65637,4.27298,2.27117,0.00439,0.33408,0.01188,0.00337,2.60591,4.18185,2.37125,0.000792012,0.000792012,0.000792012
15,1000.89,2.64289,4.21255,2.24774,0.00419,0.37234,0.01362,0.00413,2.61821,4.12344,2.3495,0.000783013,0.000783013,0.000783013
16,1067.17,2.59344,4.22067,2.24315,0.00398,0.47763,0.01487,0.00449,2.63823,4.01788,2.43286,0.000774013,0.000774013,0.000774013
17,1136.3,2.62431,4.18304,2.25727,0.0037,0.55244,0.01411,0.00443,2.58556,3.93459,2.35844,0.000765014,0.000765014,0.000765014
18,1203.14,2.60535,4.14336,2.24509,0.36677,0.05462,0.01631,0.00533,2.53976,3.88239,2.34086,0.000756015,0.000756015,0.000756015
19,1271.6,2.57416,4.07604,2.21909,0.00373,0.53488,0.02014,0.00671,2.56937,4.05719,2.43161,0.000747016,0.000747016,0.000747016
20,1335.74,2.5585,4.09207,2.2016,0.00351,0.61192,0.0171,0.00581,2.574,3.82856,2.35968,0.000738017,0.000738017,0.000738017
21,1402.56,2.57297,3.98025,2.2005,0.00403,0.55641,0.02175,0.00699,2.53249,3.9232,2.33137,0.000729018,0.000729018,0.000729018
22,1469.33,2.54212,3.98829,2.18378,0.36586,0.00735,0.02319,0.00631,2.55037,3.76703,2.35328,0.000720019,0.000720019,0.000720019
23,1535.04,2.53485,3.91957,2.1793,0.01589,0.18086,0.01627,0.00516,2.56151,4.00607,2.36505,0.00071102,0.00071102,0.00071102
24,1597.24,2.50511,3.95833,2.16014,0.00541,0.59109,0.03774,0.01135,2.50105,3.79801,2.29903,0.000702021,0.000702021,0.000702021
25,1663.85,2.5292,3.86131,2.1549,0.26877,0.04532,0.03382,0.01122,2.52134,3.80166,2.2924,0.000693022,0.000693022,0.000693022
26,1731.3,2.48633,3.89512,2.13,0.42995,0.03665,0.04672,0.01638,2.48836,3.8067,2.34393,0.000684022,0.000684022,0.000684022
27,1797.14,2.48849,3.8286,2.1297,0.50701,0.0471,0.04474,0.0128,2.5047,3.73851,2.29269,0.000675023,0.000675023,0.000675023
28,1864.86,2.48406,3.79008,2.12716,0.45341,0.04172,0.048,0.01478,2.49649,3.56059,2.32388,0.000666024,0.000666024,0.000666024
29,1934.23,2.45021,3.78087,2.10176,0.61286,0.04363,0.06219,0.01738,2.51196,3.55987,2.28172,0.000657025,0.000657025,0.000657025
30,2003.34,2.44515,3.75038,2.09203,0.28176,0.08531,0.06437,0.01817,2.49181,3.55765,2.27842,0.000648026,0.000648026,0.000648026
31,2072.12,2.45389,3.68927,2.13066,0.25894,0.06254,0.06302,0.02296,2.49561,3.54361,2.3112,0.000639027,0.000639027,0.000639027
32,2140.59,2.46399,3.6655,2.13076,0.28848,0.07058,0.08329,0.02423,2.54007,3.52034,2.34391,0.000630028,0.000630028,0.000630028
33,2210.16,2.44533,3.66869,2.11957,0.26758,0.06905,0.06999,0.01976,2.53151,3.49247,2.34782,0.000621029,0.000621029,0.000621029
34,2279.78,2.40447,3.61491,2.06535,0.32204,0.10128,0.08018,0.02832,2.54872,3.4721,2.28858,0.00061203,0.00061203,0.00061203
35,2349.14,2.37383,3.59242,2.06254,0.3171,0.10502,0.07002,0.02313,2.45517,3.4982,2.25913,0.000603031,0.000603031,0.000603031
36,2418.8,2.41652,3.56586,2.07863,0.13873,0.06795,0.07056,0.02424,2.4548,3.37196,2.27003,0.000594031,0.000594031,0.000594031
37,2488.82,2.37293,3.47691,2.04518,0.30202,0.12977,0.07558,0.025,2.40812,3.38059,2.23226,0.000585032,0.000585032,0.000585032
38,2556.94,2.39573,3.51169,2.0598,0.1316,0.0923,0.0785,0.02774,2.43503,3.26833,2.26747,0.000576033,0.000576033,0.000576033
39,2626.79,2.32882,3.43754,2.03351,0.25471,0.10167,0.07722,0.02455,2.45431,3.42647,2.2854,0.000567034,0.000567034,0.000567034
40,2700.28,2.34111,3.36024,2.03296,0.31182,0.0899,0.08022,0.02744,2.44223,3.46014,2.3192,0.000558035,0.000558035,0.000558035
41,2767.74,2.34084,3.41347,2.03139,0.26655,0.11635,0.08414,0.02996,2.48447,3.32381,2.29309,0.000549036,0.000549036,0.000549036
42,2841.26,2.33765,3.38832,2.02765,0.13939,0.12134,0.09427,0.03098,2.44914,3.26764,2.26611,0.000540037,0.000540037,0.000540037
43,2917.75,2.3184,3.30604,2.01612,0.1369,0.15659,0.10215,0.03401,2.41604,3.22447,2.2353,0.000531038,0.000531038,0.000531038
44,2991.14,2.28578,3.30471,2.00599,0.09544,0.10651,0.08602,0.02812,2.44678,3.2658,2.31086,0.000522039,0.000522039,0.000522039
45,3066.35,2.29152,3.28591,2.00577,0.14694,0.1459,0.09551,0.02897,2.46868,3.32037,2.32337,0.00051304,0.00051304,0.00051304
46,3139.39,2.32132,3.30525,2.02505,0.11565,0.13189,0.09809,0.03178,2.4309,3.22234,2.24542,0.00050404,0.00050404,0.00050404
47,3216.45,2.30872,3.29629,2.00746,0.17056,0.15704,0.10128,0.03322,2.43653,3.23248,2.29439,0.000495041,0.000495041,0.000495041
48,3286.97,2.27872,3.22029,2.012,0.17268,0.1294,0.11356,0.03353,2.50137,3.1601,2.35539,0.000486042,0.000486042,0.000486042
49,3353.83,2.29333,3.20839,1.98397,0.13157,0.1439,0.10839,0.03389,2.36908,3.12756,2.20811,0.000477043,0.000477043,0.000477043
50,3422.63,2.30233,3.20883,2.0052,0.17967,0.16769,0.12178,0.03824,2.39571,3.27562,2.25173,0.000468044,0.000468044,0.000468044
51,3493.5,2.3019,3.26135,1.982,0.14354,0.12814,0.09218,0.03025,2.44078,3.22076,2.30203,0.000459045,0.000459045,0.000459045
52,3565.49,2.2642,3.18962,1.95373,0.13273,0.13564,0.08468,0.02957,2.3975,3.23092,2.24369,0.000450046,0.000450046,0.000450046
53,3634.14,2.23883,3.0911,1.95433,0.15213,0.13394,0.10778,0.0342,2.4053,3.15901,2.24024,0.000441047,0.000441047,0.000441047
54,3703.86,2.26608,3.10512,1.98041,0.10498,0.12343,0.10269,0.03607,2.40762,3.19516,2.26132,0.000432048,0.000432048,0.000432048
55,3771.15,2.19807,3.01129,1.94952,0.12809,0.12269,0.09743,0.03221,2.41555,3.24213,2.25911,0.000423049,0.000423049,0.000423049
56,3840.26,2.21817,3.05459,1.95289,0.18044,0.19144,0.12258,0.03926,2.37189,3.08628,2.24857,0.000414049,0.000414049,0.000414049
57,3905,2.20451,2.99641,1.94944,0.17233,0.18562,0.10743,0.03934,2.42016,3.12597,2.28761,0.00040505,0.00040505,0.00040505
58,3969.25,2.19897,2.97482,1.91422,0.13356,0.15603,0.10284,0.03596,2.41374,3.17118,2.26517,0.000396051,0.000396051,0.000396051
59,4034.97,2.19948,2.92197,1.92524,0.16516,0.18301,0.11415,0.04335,2.37851,3.15972,2.2641,0.000387052,0.000387052,0.000387052
60,4100.34,2.20405,3.00127,1.92196,0.14632,0.16916,0.12476,0.04939,2.34957,3.07763,2.23187,0.000378053,0.000378053,0.000378053
61,4162.56,2.19845,2.92384,1.92659,0.15678,0.1734,0.11152,0.04462,2.39415,3.08643,2.25942,0.000369054,0.000369054,0.000369054
62,4229.93,2.1709,2.90343,1.91351,0.18438,0.18591,0.11835,0.04463,2.34255,3.07655,2.21101,0.000360055,0.000360055,0.000360055
63,4294.08,2.18745,2.89879,1.91756,0.19752,0.20889,0.12335,0.04588,2.40777,3.08549,2.27957,0.000351056,0.000351056,0.000351056
64,4358.13,2.12677,2.86011,1.88324,0.16188,0.18822,0.12567,0.04693,2.37305,3.05257,2.23999,0.000342057,0.000342057,0.000342057
65,4423.12,2.15648,2.86258,1.90863,0.17472,0.1997,0.11545,0.04317,2.36841,3.10066,2.27468,0.000333058,0.000333058,0.000333058
66,4486.78,2.13858,2.83899,1.90151,0.22427,0.1809,0.14533,0.05042,2.40556,3.02012,2.2973,0.000324058,0.000324058,0.000324058
67,4551.63,2.11575,2.81343,1.88192,0.17171,0.1866,0.14114,0.05171,2.38106,2.97784,2.26815,0.000315059,0.000315059,0.000315059
68,4616.98,2.11722,2.76199,1.86494,0.13243,0.18221,0.11618,0.04528,2.43177,3.01202,2.28657,0.00030606,0.00030606,0.00030606
69,4683.62,2.12325,2.78395,1.88102,0.16841,0.20667,0.12823,0.04655,2.4054,3.01397,2.23168,0.000297061,0.000297061,0.000297061
70,4749.38,2.11015,2.73787,1.86137,0.16909,0.16064,0.12759,0.05065,2.38199,3.00131,2.2626,0.000288062,0.000288062,0.000288062
71,4813.01,2.10725,2.73492,1.86929,0.18394,0.19979,0.12338,0.04733,2.39403,3.03512,2.31637,0.000279063,0.000279063,0.000279063
72,4876.98,2.11939,2.69901,1.86685,0.1817,0.22287,0.15114,0.05572,2.38365,3,2.26553,0.000270064,0.000270064,0.000270064
73,4941.86,2.10622,2.71934,1.8611,0.15457,0.19344,0.13614,0.0481,2.36515,2.98226,2.25714,0.000261065,0.000261065,0.000261065
74,5006.39,2.11783,2.73762,1.87415,0.18649,0.20529,0.14204,0.05486,2.34106,2.97323,2.23284,0.000252066,0.000252066,0.000252066
75,5070.08,2.08901,2.68675,1.84707,0.21723,0.21958,0.15852,0.05902,2.4134,2.98738,2.27892,0.000243067,0.000243067,0.000243067
76,5133.07,2.09723,2.64019,1.86394,0.23161,0.17638,0.14308,0.05094,2.44774,2.99492,2.29811,0.000234068,0.000234068,0.000234068
77,5195.21,2.08965,2.63094,1.84968,0.224,0.21135,0.14525,0.05656,2.44418,2.99729,2.29972,0.000225068,0.000225068,0.000225068
78,5253.68,2.10105,2.63478,1.84208,0.20811,0.20277,0.13897,0.05362,2.43145,2.91369,2.2974,0.000216069,0.000216069,0.000216069
79,5316.43,2.06299,2.6255,1.84354,0.20297,0.21959,0.13054,0.05069,2.41851,3.006,2.27296,0.00020707,0.00020707,0.00020707
80,5381.59,2.04375,2.58202,1.83492,0.19175,0.20187,0.14934,0.05443,2.42724,2.97653,2.29926,0.000198071,0.000198071,0.000198071
81,5446.69,2.04941,2.5781,1.83548,0.20318,0.19089,0.14144,0.05454,2.4245,2.97897,2.28791,0.000189072,0.000189072,0.000189072
82,5511.99,1.98639,2.47677,1.77303,0.20954,0.19887,0.14468,0.05464,2.41091,2.94119,2.28896,0.000180073,0.000180073,0.000180073
83,5574.89,2.03115,2.55975,1.81208,0.18494,0.23357,0.16157,0.06281,2.42662,2.94656,2.30268,0.000171074,0.000171074,0.000171074
84,5638.19,2.02849,2.54278,1.81674,0.18906,0.23517,0.17462,0.06393,2.44058,3.0008,2.29419,0.000162075,0.000162075,0.000162075
85,5702.11,2.02558,2.51787,1.81154,0.24611,0.16789,0.15132,0.05826,2.44385,3.00799,2.29086,0.000153076,0.000153076,0.000153076
86,5767.21,2.01529,2.52997,1.78916,0.23265,0.22408,0.16851,0.06591,2.42011,2.9837,2.29013,0.000144077,0.000144077,0.000144077
87,5830.44,1.97687,2.46566,1.79402,0.24301,0.22083,0.17716,0.06641,2.40784,2.9448,2.29086,0.000135077,0.000135077,0.000135077
88,5894.26,1.9997,2.48534,1.79059,0.21984,0.19065,0.16631,0.05877,2.43257,3.01577,2.298,0.000126078,0.000126078,0.000126078
89,5958.02,1.99372,2.4761,1.79345,0.19349,0.23096,0.15075,0.05515,2.44046,3.03082,2.30466,0.000117079,0.000117079,0.000117079
90,6020.84,1.95725,2.42939,1.76044,0.20678,0.24955,0.16593,0.05796,2.43432,3.01984,2.31178,0.00010808,0.00010808,0.00010808
91,6083.08,1.83128,2.24162,1.77389,0.25321,0.20772,0.17106,0.05797,2.4366,3.0543,2.30307,9.9081e-05,9.9081e-05,9.9081e-05
92,6145.27,1.7978,2.15123,1.74609,0.22037,0.20801,0.16787,0.05688,2.43115,3.07544,2.32774,9.00819e-05,9.00819e-05,9.00819e-05
93,6210.46,1.78601,2.13267,1.74446,0.21728,0.20489,0.15508,0.05626,2.42907,3.05253,2.33924,8.10828e-05,8.10828e-05,8.10828e-05
94,6272.87,1.79411,2.13116,1.74363,0.22738,0.21326,0.1643,0.06067,2.42269,3.05369,2.30533,7.20837e-05,7.20837e-05,7.20837e-05
95,6334.47,1.79124,2.1332,1.75326,0.24802,0.21711,0.16637,0.06154,2.45771,3.04841,2.31309,6.30846e-05,6.30846e-05,6.30846e-05
96,6392.72,1.75003,2.09882,1.70907,0.19974,0.2199,0.1614,0.06156,2.4763,3.03008,2.33233,5.40855e-05,5.40855e-05,5.40855e-05
97,6453.02,1.75107,2.0529,1.70049,0.20091,0.22232,0.15587,0.05971,2.47323,3.06276,2.3377,4.50864e-05,4.50864e-05,4.50864e-05
98,6515.75,1.76011,2.06955,1.72312,0.21201,0.21663,0.15399,0.05946,2.46034,3.06008,2.33604,3.60873e-05,3.60873e-05,3.60873e-05
99,6576.51,1.7786,2.09065,1.74849,0.20412,0.22514,0.15027,0.0574,2.45002,3.03087,2.32942,2.70882e-05,2.70882e-05,2.70882e-05
100,6637.97,1.72376,2.0254,1.7058,0.22132,0.2361,0.15822,0.05786,2.45361,3.03401,2.32709,1.80891e-05,1.80891e-05,1.80891e-05
