epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.5321,3.85565,7.04748,3.88924,0,0,0,0,3.43216,4.32736,3.57375,0.000301665,0.000301665,0.000301665
2,102.633,3.46316,5.42821,3.06842,0.00022,0.09606,0.00032,8e-05,3.16249,4.48302,2.89858,0.000598679,0.000598679,0.000598679
3,150.667,3.28554,4.94646,2.82558,0.00032,0.00347,0.00016,2e-05,3.01066,5.00672,3.08349,0.000889693,0.000889693,0.000889693
4,199.551,3.16444,4.72433,2.74582,0.00128,0.22366,0.00145,0.00045,2.91414,4.13412,2.84874,0.000882003,0.000882003,0.000882003
5,246.873,3.05675,4.61139,2.67518,0.00144,0.39503,0.00394,0.00128,2.82415,4.0044,2.64505,0.000873004,0.000873004,0.000873004
6,295.343,2.90476,4.47869,2.5675,0.00187,0.42431,0.00353,0.00122,2.78837,4.09141,2.54365,0.000864004,0.000864004,0.000864004
7,342.59,2.86025,4.40321,2.53438,0.00182,0.45721,0.00497,0.00137,2.73596,4.02752,2.56268,0.000855005,0.000855005,0.000855005
8,389.97,2.79408,4.33842,2.49712,0.00137,0.30841,0.00201,0.00052,2.89479,4.30119,2.58057,0.000846006,0.000846006,0.000846006
9,438.403,2.76258,4.26359,2.45,0.00218,0.44578,0.00771,0.00202,2.67325,3.99179,2.53632,0.000837007,0.000837007,0.000837007
10,485.627,2.72199,4.20111,2.43806,0.00235,0.18484,0.00245,0.0007,2.8071,4.68062,2.71597,0.000828008,0.000828008,0.000828008
11,534.156,2.67634,4.14002,2.42095,0.35237,0.12087,0.00997,0.00282,2.5782,3.98661,2.5152,0.000819009,0.000819009,0.000819009
12,581.515,2.6806,4.09714,2.39695,0.35086,0.08197,0.01805,0.00592,2.57865,4.10505,2.52964,0.00081001,0.00081001,0.00081001
13,629.831,2.6526,4.05755,2.35649,0.67888,0.02083,0.01499,0.00434,2.60292,3.89773,2.47538,0.000801011,0.000801011,0.000801011
14,677.114,2.62198,3.98231,2.3484,0.00327,0.59465,0.01219,0.00379,2.59661,3.94346,2.43747,0.000792012,0.000792012,0.000792012
15,725.488,2.61756,3.92771,2.36517,0.003,0.42574,0.01392,0.00402,2.55802,4.10529,2.49919,0.000783013,0.000783013,0.000783013
16,772.876,2.6007,3.89786,2.33801,0.005,0.38328,0.01866,0.00575,2.53874,4.21055,2.50724,0.000774013,0.000774013,0.000774013
17,821.224,2.56155,3.80899,2.31457,0.34901,0.00388,0.01712,0.00556,2.59899,3.72459,2.55169,0.000765014,0.000765014,0.000765014
18,868.862,2.57191,3.78297,2.31789,0.51573,0.02431,0.02393,0.00788,2.59223,3.80251,2.47331,0.000756015,0.000756015,0.000756015
19,917.564,2.54046,3.7638,2.27558,0.02761,0.0137,0.01631,0.00455,2.4855,3.67458,2.4637,0.000747016,0.000747016,0.000747016
20,964.976,2.51066,3.65112,2.2789,0.28384,0.02784,0.02643,0.00817,2.46248,3.74062,2.43718,0.000738017,0.000738017,0.000738017
21,1012.5,2.5028,3.63974,2.26107,0.42313,0.0291,0.02795,0.0094,2.58058,3.72478,2.45375,0.000729018,0.000729018,0.000729018
22,1061.08,2.45835,3.55566,2.25073,0.21611,0.06209,0.04938,0.01479,2.52629,3.61394,2.45988,0.000720019,0.000720019,0.000720019
23,1108.67,2.49769,3.54907,2.26886,0.03119,0.02592,0.04093,0.01358,2.4467,3.52414,2.39461,0.00071102,0.00071102,0.00071102
24,1157.28,2.45567,3.46624,2.22977,0.2027,0.03402,0.04589,0.01323,2.56105,3.61126,2.57716,0.000702021,0.000702021,0.000702021
25,1204.59,2.44357,3.45118,2.23334,0.29586,0.04447,0.03382,0.01218,2.63201,4.03188,2.50282,0.000693022,0.000693022,0.000693022
26,1252.93,2.4057,3.38941,2.19268,0.41905,0.07488,0.05387,0.01661,2.54295,3.58482,2.49329,0.000684022,0.000684022,0.000684022
27,1300.41,2.43242,3.36707,2.20549,0.27959,0.08263,0.05534,0.01788,2.43643,3.53471,2.39088,0.000675023,0.000675023,0.000675023
28,1349.13,2.39743,3.2958,2.18153,0.09197,0.07071,0.07966,0.02426,2.4778,3.2889,2.43424,0.000666024,0.000666024,0.000666024
29,1396.42,2.35368,3.22487,2.16631,0.30608,0.09806,0.0971,0.0287,2.5209,3.36601,2.46767,0.000657025,0.000657025,0.000657025
30,1444.95,2.3784,3.25292,2.18953,0.18628,0.12408,0.1018,0.02907,2.4595,3.32892,2.44149,0.000648026,0.000648026,0.000648026
31,1492.48,2.35207,3.18313,2.15248,0.30245,0.11421,0.08508,0.02527,2.42998,3.33052,2.41906,0.000639027,0.000639027,0.000639027
32,1541.13,2.3556,3.20455,2.15674,0.14687,0.11068,0.09413,0.03063,2.41726,3.33586,2.34551,0.000630028,0.000630028,0.000630028
33,1588.67,2.33356,3.16151,2.13858,0.11764,0.12692,0.09475,0.02829,2.40462,3.28233,2.38745,0.000621029,0.000621029,0.000621029
34,1636.34,2.30778,3.09585,2.12509,0.14544,0.11777,0.10672,0.03282,2.47098,3.24786,2.38411,0.00061203,0.00061203,0.00061203
35,1684.92,2.29891,3.08908,2.12816,0.12452,0.14546,0.10175,0.03291,2.41024,3.15591,2.34293,0.000603031,0.000603031,0.000603031
36,1732.31,2.25408,3.00185,2.09427,0.11129,0.1175,0.07466,0.02594,2.43778,3.35785,2.40393,0.000594031,0.000594031,0.000594031
37,1780.97,2.27823,2.96092,2.09741,0.14388,0.1555,0.12389,0.0398,2.4081,3.19472,2.35406,0.000585032,0.000585032,0.000585032
38,1828.01,2.2616,2.92553,2.08475,0.16735,0.17263,0.10414,0.03008,2.45383,3.27331,2.34221,0.000576033,0.000576033,0.000576033
39,1876.71,2.24864,2.94081,2.09442,0.13003,0.15578,0.09716,0.03198,2.40457,3.19665,2.37764,0.000567034,0.000567034,0.000567034
40,1924.26,2.22293,2.87145,2.05518,0.16133,0.15407,0.10948,0.03534,2.50171,3.25667,2.45585,0.000558035,0.000558035,0.000558035
41,1972.8,2.21831,2.83509,2.06023,0.15955,0.20798,0.13727,0.04766,2.38771,2.99484,2.34641,0.000549036,0.000549036,0.000549036
42,2020.21,2.20487,2.78091,2.05312,0.10812,0.14563,0.10436,0.03725,2.44596,3.09915,2.39363,0.000540037,0.000540037,0.000540037
43,2068.75,2.18688,2.74725,2.04337,0.1353,0.16583,0.1197,0.03917,2.39226,3.11331,2.37021,0.000531038,0.000531038,0.000531038
44,2116.28,2.1643,2.75175,2.04512,0.22853,0.15374,0.15524,0.04682,2.40833,3.13521,2.3559,0.000522039,0.000522039,0.000522039
45,2164.77,2.16426,2.69745,2.01223,0.19431,0.15289,0.12959,0.0417,2.50039,3.2458,2.45518,0.00051304,0.00051304,0.00051304
46,2212.39,2.14449,2.64924,1.99951,0.1635,0.20012,0.13964,0.04289,2.47648,3.09087,2.41235,0.00050404,0.00050404,0.00050404
47,2259.74,2.1418,2.62244,1.99556,0.20464,0.23029,0.1512,0.04586,2.48979,3.03251,2.45027,0.000495041,0.000495041,0.000495041
48,2308.18,2.1126,2.59764,1.99333,0.15881,0.19529,0.13368,0.04321,2.49363,3.14028,2.42342,0.000486042,0.000486042,0.000486042
49,2355.72,2.16116,2.609,1.99759,0.17823,0.21095,0.12933,0.04565,2.40505,3.0196,2.39069,0.000477043,0.000477043,0.000477043
50,2404.32,2.08923,2.5437,1.97861,0.18035,0.17364,0.13834,0.04619,2.54219,3.03482,2.5063,0.000468044,0.000468044,0.000468044
51,2451.72,2.08028,2.499,1.95412,0.17801,0.18993,0.13567,0.04611,2.46554,3.04469,2.41273,0.000459045,0.000459045,0.000459045
52,2499.93,2.07887,2.51642,1.97084,0.16053,0.1874,0.12429,0.04464,2.44074,3.13126,2.40813,0.000450046,0.000450046,0.000450046
53,2547.42,2.076,2.48984,1.9656,0.17038,0.23259,0.16304,0.05247,2.43871,3.01445,2.43969,0.000441047,0.000441047,0.000441047
54,2596,2.03845,2.44931,1.93183,0.15706,0.21159,0.15567,0.05088,2.49346,2.9937,2.47822,0.000432048,0.000432048,0.000432048
55,2643.29,2.03418,2.37351,1.92682,0.1787,0.18704,0.15192,0.05345,2.43282,3.12838,2.3801,0.000423049,0.000423049,0.000423049
56,2691.89,2.01968,2.40104,1.90497,0.18109,0.21175,0.13708,0.04659,2.49494,3.08383,2.44738,0.000414049,0.000414049,0.000414049
57,2739.4,2.0225,2.36774,1.91737,0.19449,0.22532,0.16037,0.05044,2.48635,2.96449,2.43611,0.00040505,0.00040505,0.00040505
58,2787.85,2.00724,2.30426,1.91268,0.16196,0.24754,0.15396,0.0527,2.49784,2.95004,2.48703,0.000396051,0.000396051,0.000396051
59,2835.31,2.00663,2.28961,1.90241,0.21029,0.24683,0.16507,0.05715,2.45871,2.89231,2.42483,0.000387052,0.000387052,0.000387052
